School Year,System Id,System Name,AJC_ATL_metro_ID,School Id,School Name,Grade Configuration,Grade Cluster,CCRPI Score,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points
2012,658,Forsyth County,E,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,95.6,67,10.5,15,0,3.1,3.1
2012,658,Forsyth County,E,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,95.4,66.9,10.8,15,0,2.7,2.7
2012,ALL,All Systems,S,ALL,All Schools,"PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",E,83.4,57.5,9.8,10.5,0,5.6,5.6
2012,601,Appling County,N,0109,Baxley Wilderness Institute,"07, 08, 09, 10",M,NA,NA,NA,NA,NA,NA,NA
2012,601,Appling County,N,0109,Baxley Wilderness Institute,"07, 08, 09, 10",H,NA,NA,NA,NA,NA,NA,NA
2012,601,Appling County,N,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,83.2,56.8,9.8,13.5,0,3.1,3.1
2012,601,Appling County,N,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,78.3,56.1,9.4,9.8,0,3,3
2012,7830103,CCAT,U,ALL,All Schools,"06, 07, 08, 09, 10, 11, 12",M,78.1,58.3,8.1,NA,0,,0
2012,601,Appling County,N,1050,Altamaha Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,87.6,59.9,10.2,12.8,1,3.7,4.7
2012,601,Appling County,N,0277,Appling County Primary School,"PK, KK, 01, 02",E,86.3,59.7,NA,NA,1,,1
2012,601,Appling County,N,0195,Appling County Middle School,"06, 07, 08",M,83.8,56.9,9.8,13.5,0.5,3.1,3.6
2012,601,Appling County,N,0177,Appling County Elementary School,"03, 04, 05",E,76.8,54.4,9.1,9.8,1,2.5,3.5
2012,601,Appling County,N,0103,Appling County High School,"09, 10, 11, 12",H,75.2,49.1,9.2,14.1,0,2.8,2.8
2012,601,Appling County,N,5050,Fourth District Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,74.8,53.3,9.7,7.5,1,3.3,4.3
2012,602,Atkinson County,N,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,82.7,51.6,11.1,12,0,8,8
2012,602,Atkinson County,N,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,79.7,56.7,9.2,10.5,0,3.3,3.3
2012,708,Oconee County,N,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,92,64.1,10.6,15,0,2.3,2.3
2012,602,Atkinson County,N,0190,Pearson Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,85,49.8,11.6,14.3,0,9.3,9.3
2012,602,Atkinson County,N,0111,Atkinson County Middle School,"06, 07, 08",M,79.7,56.7,9.2,10.5,0,3.3,3.3
2012,602,Atkinson County,N,0187,Willacoochee Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,79.5,54.2,10,9.8,0.5,5,5.5
2012,602,Atkinson County,N,0103,Atkinson County High School,"09, 10, 11, 12",H,66,44.7,8.5,8.4,0,4.4,4.4
2012,ALL,All Systems,S,ALL,All Schools,"PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",M,81.4,57.7,9.9,11.3,0,2.5,2.5
2012,ALL,All Systems,S,ALL,All Schools,"PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",H,72.6,50.2,9.8,12.2,0,0.4,0.4
2012,761,Atlanta Public Schools,Y,2050,Adamsville Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,59.4,39.7,8.2,9,0.5,2,2.5
2012,761,Atlanta Public Schools,Y,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,68.4,50.7,8.9,6.8,0,2,2
2012,761,Atlanta Public Schools,Y,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,67.9,49.7,8.8,8.3,0,1.1,1.1
2012,763,Bremen City,N,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,90.1,61.7,11.3,15,0,2.1,2.1
2012,761,Atlanta Public Schools,Y,0403,APS-Forrest Hills Academey,"06, 07, 08, 09, 10, 11",M,NA,NA,NA,NA,NA,NA,NA
2012,761,Atlanta Public Schools,Y,0403,APS-Forrest Hills Academey,"06, 07, 08, 09, 10, 11",H,33.7,19.9,6.3,7.5,0,0,0
2012,761,Atlanta Public Schools,Y,0206,Atlanta Charter Middle School,"06, 07, 08",M,79.9,57.7,7.5,12,0,2.7,2.7
2012,764,Buford City,E,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,92.6,62.8,9.8,14.3,0,5.7,5.7
2012,628,Cherokee County,E,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,91.7,63.4,10.4,15,0,2.9,2.9
2012,764,Buford City,E,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,91.5,63.1,10.3,15,0,3.1,3.1
2012,779,Jefferson City,N,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,90,61.3,10.5,15,0,3.2,3.2
